ecc_id,bc_name,Has Adobe SDK
1438290,G+J ELECTRONIC MEDIA SERVICE GMBH,Y
1438291,HAYMARKET BUSINESS PUBLICATIONS,Y
1438355,TRADER PUBLISHING LIMITED,Y
1438377,UNICREDIT SERVICES S.C.P.A,Y
1438411,WAL-MART BRAZIL,Y
1438414,PVH CORP.,Y
1438415,GLOBAL RADIO SERVICES LIMITED,Y
1438418,BASLER KANTONALBANK,Y
1438443,"PNC BANK, NATIONAL ASSOCIATION",Y
1438444,"LANDMARK INTERACTIVE HOLDINGS, LLC",Y
1438446,KINGFISHER INFORMATION TECHNOLOGY,Y
1438468,COMMONWEALTH BANK OF AUSTRALIA,Y
1438470,"SCRIPPS NETWORKS INTERACTIVE, INC.",Y
1438477,THE CHRONICLE OF HIGHER EDUCATION,Y
1438524,AMP SERVICES LIMITED,Y
1438526,BITDEFENDER SRL,Y
1438538,TUI TRAVEL PLC,Y
1438589,E*TRADE FINANCIAL CORPORATION,Y
1438621,GUARDIAN NEWS AND MEDIA LTD,Y
1438629,YATRA ONLINE PRIVATE LIMITED,Y
1438630,"CEMEX, INC.",Y
1438636,LIFEWAY CHRISTIAN RESOURCES,Y
1438638,"SENSHUKAI CO.,LTD",Y
1438679,ROYAL CANADIAN MINT,Y
1438701,"NISSEN HOLDINGS CO., LTD.",Y
1438703,NIKON CORPORATION,Y
1438724,"JET.COM, INC. DBA MODCLOTH",Y
1438725,HEARST MAGAZINES,Y
1438726,PRIVATE SALES GMBH,Y
1438728,ABSA BANK (SOUTH AFRICA) LTD.,Y
1438738,"ATLANTIC MEDIA, INC.",Y
1438758,RAIL EUROPE,Y
1438778,AUSTRALIA & NEW ZEALAND,Y
1438804,"EXPRESS, LLC",Y
1438805,ANZ BANK NEW ZEALAND LIMITED,Y
1438822,JS INFORMATION SYSTEMS LIMITED,Y
1438850,"PEACH JOHN., LTD",Y
1438937,REDBOX AUTOMATED RETAIL LLC,Y
1438998,CAPELLA UNIVERSITY,Y
1439023,AIMIA CANADA INC.,Y
1439024,K-OPTICOM CORP,Y
1439027,"CARNIVAL CRUISE LINE,",Y
1439032,MOUNTAIN AMERICA FEDERAL CREDIT,Y
1439052,NEWSQUEST MEDIA GROUP LIMITED,Y
1439056,"BLACKROCK, INC.",Y
1439090,MTV OY,Y
1439132,DRAEGERWERK AG & CO. KGAA,Y
1439133,HUTCHISON 3G UK LTD,Y
1439134,"RCI, LLC",Y
1439140,"NOMURA SECURITIES CO., LTD.",Y
1439149,MITSUBISHI UFJ NICOS CO LTD,Y
1439154,AB KVALLSTIDNINGEN EXPRESSEN,Y
1439162,"MARRIOTT INTERNATIONAL, INC.",Y
1439168,ROYAL CARIBBEAN CRUISES LTD.,Y
1439176,"ISC.COM, LLC",Y
1439199,"BEACHBODY, LLC",Y
1439211,GATEHOUSE MEDIA MANAGEMENT,Y
1439212,"TOYS R US-DELAWARE, INC.",Y
1439263,"RECREATIONAL EQUIPMENT, INC.",Y
1439301,INFORMA UK LTD,Y
1439314,OLYMPIA-VERLAG GMBH,Y
1439364,GREEN DOT CORPORATION,Y
1439405,AGL ENERGY LIMITED,Y
1439426,KDDI CORPORATION,Y
1439450,"THE ECONOMIST NEWSPAPER NA, INC.",Y
1439453,COSTCO WHOLESALE CORPORATION,Y
1439472,KUWAIT PETROLEUM DANMARK AS (Q8),Y
1439521,FOXTEL MANAGEMENT PTY LIMITED,Y
1439542,COMCAST CORPORATION,Y
1439552,THE BOEING COMPANY,Y
1439554,SHUEISHA INC,Y
1439575,TV TOKYO COMMUNICATIONS,Y
1439587,ABBOTT LABORATORIES,Y
1439589,NISSAN MOTOR CO LTD,Y
1439597,PRESS IMMO ON LINE S.A.S.,Y
1439601,TV2 DANMARK A/S,Y
1439623,PEMCO MUTUAL INSURANCE COMPANY,Y
1439650,BRITISH HEART FOUNDATION,Y
1439706,"SERVPRO INDUSTRIES, INC.",Y
1439713,"POLITICO, LLC",Y
1439715,CDISCOUNT SA,Y
1440179,FLIGHTNETWORK,Y
1440182,NESTLE NESPRESSO SA,Y
1440195,RCS MEDIAGROUP SPA,Y
1440197,Toyota Connected Corporation,Y
1440221,THE BANK OF NOVA SCOTIA,Y
1440222,MACQUARIE GROUP SERVICES,Y
1440242,QATAR AIRWAYS GROUP Q.C.S.C.,Y
1440252,"ONWARD KASHIYAMA CO.,LTD.",Y
1440260,NETS DENMARK A/S,Y
1440261,VIVID SEATS,Y
1440287,UNITED STATES GOLF ASSOCIATION,Y
1440316,"SUB-ZERO, INC.",Y
1440325,LA CAPITALE ASSUREUR DE,Y
1440335,BUPA INVESTMENTS LIMITED,Y
1440340,IL SOLE 24 ORE S.P.A.,Y
1440354,"OAK LAWN MARKETING, INC",Y
1440357,LENOVO (UNITED STATES) INC.,Y
1440358,GENERAC POWER SYSTEMS,Y
1440370,JUPITER TELECOMMUNICATIONS,Y
1440374,TICKETMASTER L.L.C.,Y
1440387,"STAPLES, INC.",Y
1440404,SCA DELHAIZE LE LION/DE LEEUW,Y
1440407,"DESERET DIGITAL MEDIA, INC.",Y
1440414,GIE DU GROUPE AVIVA FRANCE,Y
1440423,CROWN MEDIA (DBA,Y
1440822,IINET LIMITED,Y
1440823,UNIDAD EDITORIAL SA,Y
1440834,AIR CANADA,Y
1440854,SEPHORA SAS,Y
1440859,IBM INTERACTIVE,Y
1440873,OXFAM GB,Y
1440876,ICOMPETENCE GMBH.,Y
