Name,Rank,Website
Diplomat Pharmacy,669,http://www.diplomat.is
Cooper-Standard Holdings,670,http://www.cooperstandard.com
CME Group,671,http://www.cmegroup.com
Landstar System,672,http://www.landstar.com
CACI International,673,http://www.caci.com
Westinghouse Air Brake Technologies,674,http://www.wabtec.com
Rent-A-Center,675,http://www.rentacenter.com
Citrix Systems,676,http://www.citrix.com
Clean Harbors,677,http://www.cleanharbors.com
Skyworks Solutions,678,http://www.skyworksinc.com
Alliant Energy,679,http://www.alliantenergy.com
TD Ameritrade Holding,680,http://www.amtd.com
TEGNA,681,http://www.tegna.com
IAC/InterActiveCorp,682,http://www.iac.com
Fossil Group,683,http://www.fossilgroup.com
NBTY,684,http://www.nbty.com
ScanSource,685,http://www.scansource.com
TreeHouse Foods,686,http://www.treehousefoods.com
Aleris,687,http://www.aleris.com
Groupon,688,http://www.groupon.com
Aaron’s,689,http://www.aarons.com
Joy Global,690,http://www.joyglobal.com
Ryerson Holding,691,http://www.ryerson.com
Helmerich & Payne,692,http://www.hpinc.com
HealthSouth,693,http://www.healthsouth.com
Vantiv,694,http://www.vantiv.com
Skechers U.S.A.,695,http://www.skx.com
American Water Works,696,http://www.amwater.com
Iasis Healthcare,697,http://www.iasishealthcare.com
Huntington Bancshares,698,http://www.huntington.com
Tempur Sealy International,699,http://www.tempursealy.com
EchoStar,700,http://www.echostar.com
CUNA Mutual Group,701,http://www.cunamutual.com
Brown-Forman,702,http://www.brown-forman.com
Noble Energy,703,http://www.nobleenergyinc.com
Southwestern Energy,703,http://www.swn.com
Regal Entertainment Group,705,http://www.regmovies.com
Consol Energy,706,http://www.consolenergy.com
Time,707,http://www.timeinc.com
Varian Medical Systems,708,http://www.varian.com
SkyWest,709,http://www.skywest.com
BGC Partners,710,http://www.bgcpartners.com
Puget Energy,711,http://www.pugetenergy.com
H&R Block,712,http://www.hrblock.com
Amerco,713,http://www.amerco.com
Brink’s,714,http://www.brinks.com
Oceaneering International,715,http://www.oceaneering.com
Steelcase,716,http://www.steelcase.com
W.R. Grace,717,http://www.grace.com
Metaldyne Performance Group,718,http://www.mpgdriven.com
KB Home,719,http://www.kbhome.com
International Flavors & Fragrances,720,http://www.iff.com
Genesco,721,http://www.genesco.com
Scripps Networks Interactive,722,http://www.scrippsnetworksinteractive.com
American National Insurance,723,http://www.americannational.com
Scotts Miracle-Gro,724,http://www.scotts.com
Unisys,725,http://www.unisys.com
Carter’s,726,http://www.carters.com
NOW,727,http://www.distributionnow.com
Mercury General,728,http://www.mercuryinsurance.com
Iron Mountain,729,http://www.ironmountain.com
Carlyle Group,730,http://www.carlyle.com
Brinker International,731,http://www.brinker.com
Northern Tier Energy,732,http://www.ntenergy.com
LinkedIn,733,http://www.linkedin.com
Service Corp. International,734,http://www.sci-corp.com
Stericycle,735,http://www.stericycle.com
Sabre,736,http://www.sabre.com
Graham Holdings,737,http://www.ghco.com
Taylor Morrison Home,738,http://www.taylormorrison.com
Cooper Tire & Rubber,739,http://www.coopertire.com
Old Dominion Freight Line,740,http://www.odfl.com
Warner Music Group,741,http://www.wmg.com
Green Plains,742,http://www.gpreinc.com
Alpha Natural Resources,743,http://www.alphanr.com
Convergys,744,http://www.convergys.com
TECO Energy,745,http://www.tecoenergy.com
IMS Health Holdings,746,http://www.imshealth.com
MSC Industrial Direct,747,http://www.mscdirect.com
Systemax,748,http://www.systemax.com
Triple-S Management,749,http://www.triplesmanagement.com
StanCorp Financial Group,750,http://www.stancorpfinancial.com
Universal Forest Products,751,http://www.ufpi.com
Gannett,752,http://www.gannett.com
Amkor Technology,753,http://www.amkor.com
Linn Energy,754,http://www.linnenergy.com
Sentry Insurance Group,755,http://www.sentry.com
Weis Markets,756,http://www.weismarkets.com
Timken,757,http://www.timken.com
Cabot,758,http://www.cabotcorp.com
Univision Communications,759,http://corporate.univision.com
